title,description,severity
Cert Viewer crashes when encountering an improperly encoded AIA extension,Cert Viewer crashes when encountering an improperly encoded AIA extension,Critical
"TM: ""Assertion failure: regs.sp - 2 >= StackBase(fp), at ../jsinterp.cpp""","TM: ""Assertion failure: regs.sp - 2 >= StackBase(fp), at ../jsinterp.cpp""",Critical
Can't use .otf fonts via @font-face on Windows,Can't use .otf fonts via @font-face on Windows,High
js/src should share dist directory with rest of Mozilla when built in-tree --- or should it?,js/src should share dist directory with rest of Mozilla when built in-tree --- or should it?,Medium
TM: NJ_ARM_VFP option doesn't be turn on/off in makefile,TM: NJ_ARM_VFP option doesn't be turn on/off in makefile,Medium
Update libpng to 1.0.33rc2 or later,Update libpng to 1.0.33rc2 or later,Medium
Get Error during XSLT transformation: Waiting for …,Get Error during XSLT transformation: Waiting for …,High
"""ASSERTION: We can't deal with objects that have the same classinfo but different offset tables"" with MathML element and other element","""ASSERTION: We can't deal with objects that have the same classinfo but different offset tables"" with MathML element and other element",Medium
"""ASSERTION: already initialized"" - nsMimeTypeArray::GetMimeTypes","""ASSERTION: already initialized"" - nsMimeTypeArray::GetMimeTypes",Medium
Leak txNodeTest on http://ocp.acadiau.ca/,Leak txNodeTest on http://ocp.acadiau.ca/,Low
Missing repaint when using -moz-border-image on a XUL button,Missing repaint when using -moz-border-image on a XUL button,Medium
"""ASSERTION: must have root box""","""ASSERTION: must have root box""",Medium
-moz-border-*-colors should support inherit and -moz-initial correctly,-moz-border-*-colors should support inherit and -moz-initial correctly,Medium
fix layout-debug chrome registration,fix layout-debug chrome registration,Medium
windows nsIScreen::GetColorDepth should correct 32 to 24,windows nsIScreen::GetColorDepth should correct 32 to 24,Medium
nsCSSDeclaration::ToString puts inherit / -moz-initial in the middle of shorthands,nsCSSDeclaration::ToString puts inherit / -moz-initial in the middle of shorthands,Medium
-moz-box-ordinal-group should not allow negative values,-moz-box-ordinal-group should not allow negative values,Medium
reject duplicate values for 'text-decoration',reject duplicate values for 'text-decoration',Medium
should reject 'stroke-miterlimit' values less than 1,should reject 'stroke-miterlimit' values less than 1,Medium
table content truncated on second page of print when contained within floated div,table content truncated on second page of print when contained within floated div,Medium
Table information is displayed diferently after refresh,Table information is displayed diferently after refresh,Medium
Nightly mac builds contain .dSYM bundles,Nightly mac builds contain .dSYM bundles,Medium
Build system should support building both a static and a shared library from the same Makefile,Build system should support building both a static and a shared library from the same Makefile,Medium
box with background-attachment:fixed goes on top of floats,box with background-attachment:fixed goes on top of floats,Medium
intl.charsetmenu.browser.unicode should not be included in localizable file,intl.charsetmenu.browser.unicode should not be included in localizable file,Medium
"TM: ""switch(1/0){case Infinity:}"" 4X slower with JIT enabled","TM: ""switch(1/0){case Infinity:}"" 4X slower with JIT enabled",Medium
Assertion failure: (tc->flags & TCF_IN_FUNCTION) || (tc->parseContext->callerFrame && tc->parseContext->callerFrame->fun && tc->parseContext->callerFrame->varobj == tc->u.scopeChain),Assertion failure: (tc->flags & TCF_IN_FUNCTION) || (tc->parseContext->callerFrame && tc->parseContext->callerFrame->fun && tc->parseContext->callerFrame->varobj == tc->u.scopeChain),Critical
Crash [@ JS_GetMethodById ],Crash [@ JS_GetMethodById ],Medium
cx->fp errors caused by JS_GET_SCRIPT_ATOM,cx->fp errors caused by JS_GET_SCRIPT_ATOM,Medium
TM: Crash [@ js_EqualStrings],TM: Crash [@ js_EqualStrings],Critical
"TM: Behavioral difference in addition of objects between JIT, non-JIT","TM: Behavioral difference in addition of objects between JIT, non-JIT",Medium
chrome crashed because switchmask didn't notice venkman had cleared its interrupt hook [@ js_MonitorRecording],chrome crashed because switchmask didn't notice venkman had cleared its interrupt hook [@ js_MonitorRecording],Critical
"TM: 20% slower to compute -""""","TM: 20% slower to compute -""""",Low
crash [@ js_FlushJITCache(JSContext*) ] when trying to detach tab with jit.chrome turned on,crash [@ js_FlushJITCache(JSContext*) ] when trying to detach tab with jit.chrome turned on,Critical
TM: fails to trace condswitch with type mismatch,TM: fails to trace condswitch with type mismatch,Low
"TM: ""Assertion failure: cx->fp->regs->pc == f->ip && f->root == f""","TM: ""Assertion failure: cx->fp->regs->pc == f->ip && f->root == f""",Critical
ecma/Math/15.8.2.6.js FAILS - Mac OS X 10.5 only,ecma/Math/15.8.2.6.js FAILS - Mac OS X 10.5 only,Medium
Add tests for the red/green analysis (cx->fp),Add tests for the red/green analysis (cx->fp),Medium
"js_DecompileValueGenerator uses cx->fp, should be made safe","js_DecompileValueGenerator uses cx->fp, should be made safe",Medium
TM: valueOf ignored on third iteration of loop,TM: valueOf ignored on third iteration of loop,Medium
"TM: ""Assertion failure: JSVAL_IS_INT(STOBJ_GET_SLOT(callee_obj, JSSLOT_PRIVATE))"" with __proto__, call","TM: ""Assertion failure: JSVAL_IS_INT(STOBJ_GET_SLOT(callee_obj, JSSLOT_PRIVATE))"" with __proto__, call",Critical
jsstack.js: give better locations for errors,jsstack.js: give better locations for errors,Medium
red/green analysis (cx->fp) doesn't actually run the analysis,red/green analysis (cx->fp) doesn't actually run the analysis,Medium
"./js ""usage"" omits ""-j""","./js ""usage"" omits ""-j""",Low
"restore utility of eval(o, s)","restore utility of eval(o, s)",Low
"Crash [@ gfxSkipCharsIterator::SetOffsets] with ::first-letter, position: absolute and setting innerHTML on root","Crash [@ gfxSkipCharsIterator::SetOffsets] with ::first-letter, position: absolute and setting innerHTML on root",Critical
[OSX] First use of dead keys always shows incorrect behavior,[OSX] First use of dead keys always shows incorrect behavior,Medium
Remove unused state machines,Remove unused state machines,Medium
nsSVGElement::ParseAttribute doesn't return PR_TRUE for new style SVG strings,nsSVGElement::ParseAttribute doesn't return PR_TRUE for new style SVG strings,Medium
test_CrossSiteXHR.html : improve thrown exceptions from file_CrossSiteXHR_server.sjs,test_CrossSiteXHR.html : improve thrown exceptions from file_CrossSiteXHR_server.sjs,Medium
'word-spacing: normal' should be treated internally like '0','word-spacing: normal' should be treated internally like '0',Medium
IsAttributeMapped appears in many SVG class definitions with NS_IMETHODIMP_ instead of NS_IMETHOD_,IsAttributeMapped appears in many SVG class definitions with NS_IMETHODIMP_ instead of NS_IMETHOD_,Low
Shouldn't fire pageshow on frameloader swap if the document is still loading,Shouldn't fire pageshow on frameloader swap if the document is still loading,Medium
"Leak nsDocument with <marquee>, contenteditable","Leak nsDocument with <marquee>, contenteditable",Medium
styled form controls (colour property) not reacting correctly when 'Allow pages to choose their own colors...' is unchecked.,styled form controls (colour property) not reacting correctly when 'Allow pages to choose their own colors...' is unchecked.,Medium
Yet another cleanup patch,Yet another cleanup patch,Medium
Expose DOMWindow,Expose DOMWindow,Medium
Add findtext support to incubator/embedding,Add findtext support to incubator/embedding,Medium
window.openDialog doesn't work reliably since August in trunk and Firefox 3.1,window.openDialog doesn't work reliably since August in trunk and Firefox 3.1,Medium
padding-bottom is not getting added to scrollheight in FF3,padding-bottom is not getting added to scrollheight in FF3,Medium
"Running mochitest asserts: ###!!! ASSERTION: should be executing script: 'mContext->fp', file /mozilla/dom/src/base/nsJSEnvironment.cpp, line 3318","Running mochitest asserts: ###!!! ASSERTION: should be executing script: 'mContext->fp', file /mozilla/dom/src/base/nsJSEnvironment.cpp, line 3318",Medium
Crash [@ nsParser::ParseFragment] setting innerHTML in mixed-content document,Crash [@ nsParser::ParseFragment] setting innerHTML in mixed-content document,Critical
"Crash [@ nsFrame::Destroy] with binding, page-break-after and stylesheet when closing print preview","Crash [@ nsFrame::Destroy] with binding, page-break-after and stylesheet when closing print preview",Critical
-moz-column-count:0 should be a parse error,-moz-column-count:0 should be a parse error,Medium
clip: rect(auto auto auto auto); is not equivalent to clip: auto,clip: rect(auto auto auto auto); is not equivalent to clip: auto,Medium
stop using nsAreaFrame for anything other than xul:label,stop using nsAreaFrame for anything other than xul:label,Medium
remove native widgets from xul decks,remove native widgets from xul decks,Medium
ShellExecuteW and SHParseDisplayName do not exist on wince,ShellExecuteW and SHParseDisplayName do not exist on wince,Medium
Narrow window class name is no longer used,Narrow window class name is no longer used,Medium
move editor readme to devmo,move editor readme to devmo,Low
Update and move OS/2-specific README.txt files,Update and move OS/2-specific README.txt files,Medium
Possible crashes/leaks in regexp handling in OOM conditions,Possible crashes/leaks in regexp handling in OOM conditions,Medium
Improve the nsXULPopupManager.cpp nsNavigationDirection code,Improve the nsXULPopupManager.cpp nsNavigationDirection code,Medium
contentAccess accesskeys for elements hidden with CSS don't work,contentAccess accesskeys for elements hidden with CSS don't work,Low
Leak 6 nsGlobalWindows with <svg:switch> and some nonsense,Leak 6 nsGlobalWindows with <svg:switch> and some nonsense,High
Workers: relative urls for XHR are incorrect,Workers: relative urls for XHR are incorrect,Medium
Workers: Spec for runtime error behavior has changed,Workers: Spec for runtime error behavior has changed,Medium
"Crash on Topsites (baidu.com, ebay.com, www.megarotic.com, etc) JS_Assert + 67 (jsutil.cpp:63)","Crash on Topsites (baidu.com, ebay.com, www.megarotic.com, etc) JS_Assert + 67 (jsutil.cpp:63)",Critical
Remove long-dead MOZ_SECURITY ifdef,Remove long-dead MOZ_SECURITY ifdef,Medium
Crash [@ nsXULTooltipListener::FindTooltip] with tooltiptext and root element,Crash [@ nsXULTooltipListener::FindTooltip] with tooltiptext and root element,Critical
"[SeaMonkey, Linux] Tests fail after landing bug 465998","[SeaMonkey, Linux] Tests fail after landing bug 465998",Medium
"Leak nsStyleContext with RTL, text-transform","Leak nsStyleContext with RTL, text-transform",Medium
Fix TEXT_INCOMING_ARABICCHAR value,Fix TEXT_INCOMING_ARABICCHAR value,Medium
Pasting non-ascii characters into a .rtf Textedit document fails.,Pasting non-ascii characters into a .rtf Textedit document fails.,Medium
remove old CAPS readme (already on devmo),remove old CAPS readme (already on devmo),Low
TM: Crash involving a for loop,TM: Crash involving a for loop,Critical
"null==undefined does not trace: ""unsupported operand types for cmp""","null==undefined does not trace: ""unsupported operand types for cmp""",Low
TM: Crash in js_GetTopStackFrame when cx->thread is null,TM: Crash in js_GetTopStackFrame when cx->thread is null,Medium
Decompiler fixes from bug 469625,Decompiler fixes from bug 469625,Medium
Firefox 3.1b2 crash [@ nanojit::LIns::targetAddr(),Firefox 3.1b2 crash [@ nanojit::LIns::targetAddr(),Medium
js1_7/decompilation/regress-379925.js | js1_8_1/decompilation/regress-371802.js FAIL,js1_7/decompilation/regress-379925.js | js1_8_1/decompilation/regress-371802.js FAIL,Medium
